tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
166,39:43.5,42:29.7,40.72165072,-74.04288411,40.72759597,-74.04424731,29472,Subscriber,1985,1
260,42:06.4,46:27.1,40.71942,-74.05099,40.71958612,-74.04311746,29236,Subscriber,1958,1
119,54:35.6,56:35.4,40.7192517,-74.034234,40.71687,-74.03281,29206,Subscriber,1991,1
175,58:51.2,01:46.2,40.71958612,-74.04311746,40.72333159,-74.04595256,29449,Subscriber,1952,1
257,05:27.6,09:44.8,40.71958612,-74.04311746,40.72759597,-74.04424731,29572,Subscriber,1964,1
385,10:56.8,17:22.2,40.7242941,-74.0354826,40.7287448,-74.0321082,29611,Subscriber,1983,2
378,25:58.8,32:17.7,40.71958612,-74.04311746,40.71653978,-74.04963791,29236,Subscriber,1983,1
294,27:29.1,32:23.3,40.71958612,-74.04311746,40.71653978,-74.04963791,26184,Subscriber,1986,2
1245,29:54.8,50:39.8,40.72333159,-74.04595256,40.72333159,-74.04595256,29449,Subscriber,1952,1
523,03:01.1,11:44.3,40.71942,-74.05099,40.7183552,-74.03891444,29629,Subscriber,1979,2
504,03:03.9,11:28.8,40.72759597,-74.04424731,40.71687,-74.03281,29526,Subscriber,1982,1
252,12:40.1,16:52.5,40.72601173,-74.05038893,40.72568548,-74.04879034,29594,Subscriber,1996,2
228,45:56.8,49:45.0,40.7308971,-74.06391263,40.72533993,-74.06762213,29125,Subscriber,1980,1
330,48:25.6,53:55.7,40.7308971,-74.06391263,40.7192822,-74.07126188,26272,Subscriber,1988,1
236,53:41.4,57:38.1,40.71958612,-74.04311746,40.71517768,-74.03768331,29541,Subscriber,1986,1
858,14:54.0,29:12.4,40.71435837,-74.06661093,40.72152515,-74.04630454,29435,Subscriber,1994,1
449,37:07.3,44:36.7,40.7177325,-74.043845,40.7112423,-74.0557013,29595,Subscriber,1991,1
131,00:12.7,02:24.4,40.7211236,-74.03805095,40.72165072,-74.04288411,29510,Subscriber,1989,1
285,04:13.7,08:58.8,40.71958612,-74.04311746,40.72528911,-74.04557168,29513,Subscriber,1958,2
387,41:29.5,47:56.9,40.71687,-74.03281,40.7272235,-74.0337589,26261,Subscriber,1990,1
111,51:26.9,53:18.8,40.71848892,-74.04772663,40.71942,-74.05099,29552,Subscriber,1958,1
159,55:38.9,58:18.5,40.72333159,-74.04595256,40.72759597,-74.04424731,29449,Subscriber,1990,2
359,57:34.8,03:34.2,40.72533993,-74.06762213,40.72533993,-74.06762213,29507,Subscriber,1993,1
416,00:41.7,07:38.6,40.71848892,-74.04772663,40.71346383,-74.06285852,26290,Subscriber,1979,1
181,04:17.5,07:18.6,40.7242941,-74.0354826,40.7192517,-74.034234,29674,Subscriber,1990,1
872,08:58.5,23:31.5,40.71458404,-74.04281706,40.72755147,-74.07106072,26226,Subscriber,1989,1
379,10:14.9,16:34.0,40.7272235,-74.0337589,40.7192517,-74.034234,29618,Subscriber,1996,2
299,39:55.3,44:54.5,40.7308971,-74.06391263,40.72210379,-74.071455,26236,Subscriber,1981,2
172,45:34.4,48:26.8,40.7272235,-74.0337589,40.7287448,-74.0321082,29659,Subscriber,1989,1
227,45:43.5,49:30.5,40.72165072,-74.04288411,40.72759597,-74.04424731,29510,Subscriber,1982,1
330,47:51.7,53:22.6,40.71241882,-74.03852552,40.7211236,-74.03805095,29626,Subscriber,1991,1
173,50:44.5,53:37.7,40.73496102,-74.05950308,40.7308971,-74.06391263,26165,Subscriber,1978,1
610,56:48.2,06:58.4,40.71346383,-74.06285852,40.71958612,-74.04311746,26178,Subscriber,1987,1
302,03:04.5,08:07.4,40.72759597,-74.04424731,40.7211236,-74.03805095,29515,Subscriber,1964,1
501,09:25.1,17:46.7,40.7177325,-74.043845,40.72759597,-74.04424731,29604,Customer,1969,0
332,10:05.3,15:38.2,40.7272235,-74.0337589,40.7192517,-74.034234,26261,Subscriber,1993,1
322,10:14.8,15:37.0,40.7272235,-74.0337589,40.7192517,-74.034234,29305,Subscriber,1991,2
232,16:34.0,20:26.2,40.72165072,-74.04288411,40.71848892,-74.04772663,29260,Subscriber,1977,1
386,18:18.5,24:44.6,40.73367,-74.0625,40.73478582,-74.05044364,29621,Subscriber,1991,2
417,30:03.6,37:00.9,40.7246051,-74.07840595,40.7308971,-74.06391263,26227,Subscriber,1983,1
205,31:40.4,35:05.9,40.71958612,-74.04311746,40.71848892,-74.04772663,29514,Subscriber,1990,1
701,07:24.5,19:06.4,40.7211236,-74.03805095,40.72759597,-74.04424731,29515,Subscriber,1964,1
686,18:44.5,30:11.4,40.71649,-74.04105,40.72601173,-74.05038893,29299,Customer,1969,0
345,07:17.4,13:03.3,40.7308971,-74.06391263,40.72210379,-74.071455,26227,Subscriber,1995,1
449,41:38.7,49:08.0,40.72165072,-74.04288411,40.73520838,-74.04696375,26299,Subscriber,1984,1
570,22:59.2,32:29.4,40.7308971,-74.06391263,40.74590997,-74.05727148,26239,Subscriber,1969,1
147,15:53.5,18:20.8,40.72533993,-74.06762213,40.72210379,-74.071455,29507,Subscriber,1994,2
291,05:41.0,10:32.7,40.71653978,-74.04963791,40.71346383,-74.06285852,29243,Customer,1991,1
266,45:40.5,50:06.8,40.72601173,-74.05038893,40.71958612,-74.04311746,29211,Subscriber,1981,1
285,13:44.3,18:30.0,40.72572614,-74.07195926,40.7308971,-74.06391263,29591,Customer,1993,1
262,20:03.4,24:25.9,40.7287448,-74.0321082,40.7211236,-74.03805095,26295,Subscriber,1981,1
125,28:13.5,30:18.5,40.7241765,-74.0506564,40.72333159,-74.04595256,29456,Subscriber,1982,1
163,36:09.6,38:52.9,40.72163014,-74.04996783,40.71958612,-74.04311746,29223,Subscriber,1981,2
259,39:11.2,43:30.2,40.7376037,-74.0524783,40.73367,-74.0625,26189,Subscriber,1988,1
256,43:43.1,47:59.8,40.72759597,-74.04424731,40.71958612,-74.04311746,29449,Subscriber,1978,1
309,47:08.1,52:17.6,40.72572614,-74.07195926,40.7308971,-74.06391263,26230,Subscriber,1986,2
341,54:32.3,00:13.4,40.7236589,-74.0641943,40.7308971,-74.06391263,29488,Subscriber,1962,1
312,56:47.8,02:00.4,40.7287448,-74.0321082,40.7183552,-74.03891444,29302,Subscriber,1980,1
86,00:53.9,02:20.9,40.7192517,-74.034234,40.71687,-74.03281,29605,Subscriber,1988,1
117,10:11.3,12:08.7,40.71848892,-74.04772663,40.71958612,-74.04311746,29514,Subscriber,1977,1
220,10:16.2,13:56.5,40.71241882,-74.03852552,40.71687,-74.03281,26219,Subscriber,1973,1
231,15:04.8,18:56.4,40.71458404,-74.04281706,40.71958612,-74.04311746,26210,Subscriber,1980,1
1136,15:32.1,34:28.5,40.72755147,-74.07106072,40.7287448,-74.0321082,26226,Subscriber,1959,1
325,15:40.9,21:06.3,40.72165072,-74.04288411,40.7192517,-74.034234,26248,Customer,1997,1
426,17:04.4,24:10.9,40.72759597,-74.04424731,40.71687,-74.03281,26264,Subscriber,1969,1
420,18:21.7,25:22.2,40.72333159,-74.04595256,40.72152515,-74.04630454,29456,Subscriber,1982,1
